"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Mar-2023","EQ","53.45","55.30","52.65","53.95","55.10","54.80","53.71","88.70","40.60","4,41,59,725","2,37,17,83,218.20","84,095"
"06-Mar-2023","EQ","54.00","54.95","53.70","53.65","53.80","53.95","54.38","88.70","40.60","3,34,92,583","1,82,12,03,987.00","69,571"
"03-Mar-2023","EQ","54.90","55.40","53.20","54.55","53.80","53.65","54.05","88.70","40.60","3,69,43,821","1,99,69,97,417.40","66,273"
"02-Mar-2023","EQ","54.75","55.20","54.35","54.95","54.50","54.55","54.77","88.70","40.60","3,62,56,148","1,98,57,79,790.00","66,696"
"01-Mar-2023","EQ","53.50","55.35","53.35","53.50","54.65","54.95","54.72","88.70","40.60","4,28,54,827","2,34,49,52,180.40","91,303"
"28-Feb-2023","EQ","53.70","54.40","53.00","53.60","53.35","53.50","53.61","88.70","40.60","4,54,14,869","2,43,45,25,918.40","65,167"
"27-Feb-2023","EQ","54.70","54.75","53.20","54.45","54.00","53.60","53.83","88.70","40.60","3,87,35,556","2,08,51,76,652.30","76,906"
"24-Feb-2023","EQ","55.50","56.75","54.00","54.95","54.30","54.45","55.50","88.70","40.60","7,34,40,699","4,07,60,21,842.25","1,24,035"
"23-Feb-2023","EQ","53.00","56.00","52.80","52.95","54.80","54.95","54.72","88.70","40.60","11,80,58,937","6,45,99,13,661.95","1,69,204"
"22-Feb-2023","EQ","54.85","55.40","52.60","55.35","52.70","52.95","53.83","88.70","40.60","7,58,02,021","4,08,02,27,486.00","1,14,054"
"21-Feb-2023","EQ","54.60","56.15","54.40","54.60","55.25","55.35","55.38","88.70","40.60","10,01,06,053","5,54,42,03,460.15","1,62,800"
"20-Feb-2023","EQ","51.90","55.05","51.75","51.80","54.70","54.60","53.57","88.70","40.60","9,33,15,254","4,99,93,57,024.80","1,48,386"
"17-Feb-2023","EQ","51.25","52.20","50.70","51.40","51.65","51.80","51.68","90.10","40.60","5,28,62,406","2,73,19,38,821.50","83,472"
"16-Feb-2023","EQ","50.80","51.80","50.45","50.25","51.40","51.40","51.18","90.10","40.60","4,88,41,966","2,49,97,12,390.80","79,636"
"15-Feb-2023","EQ","50.55","50.90","49.80","50.35","50.40","50.25","50.42","90.10","40.60","4,96,55,881","2,50,34,39,077.65","85,211"
"14-Feb-2023","EQ","51.80","52.50","49.90","51.80","50.40","50.35","50.76","90.10","40.60","7,93,95,202","4,02,98,93,516.35","1,21,150"
"13-Feb-2023","EQ","53.00","53.70","51.25","53.30","51.45","51.80","52.33","90.10","40.60","8,61,62,276","4,50,92,28,501.40","1,31,029"
"10-Feb-2023","EQ","52.70","54.15","50.70","54.40","53.50","53.30","52.90","95.50","40.60","17,69,50,201","9,36,01,00,192.85","2,24,940"
"09-Feb-2023","EQ","54.70","56.80","53.40","54.30","54.60","54.40","55.41","95.50","40.60","21,63,98,621","11,99,14,31,149.90","3,37,907"
"08-Feb-2023","EQ","51.20","55.30","51.10","49.35","53.80","54.30","53.31","95.50","40.60","26,55,95,807","14,15,82,31,426.35","3,57,299"
"07-Feb-2023","EQ","48.00","51.00","47.60","47.75","50.50","49.35","48.63","95.50","40.60","6,10,77,398","2,97,01,23,080.55","86,239"
"06-Feb-2023","EQ","48.70","49.10","47.55","48.75","47.75","47.75","48.09","95.50","40.60","3,59,56,956","1,72,91,46,253.80","90,396"
"03-Feb-2023","EQ","48.15","49.25","47.70","47.50","48.65","48.75","48.48","99.75","40.60","4,24,97,841","2,06,04,27,208.90","96,388"
"02-Feb-2023","EQ","48.40","48.90","47.15","48.15","47.50","47.50","47.89","99.75","40.60","4,07,51,688","1,95,17,19,628.30","92,768"
"01-Feb-2023","EQ","50.00","51.05","47.05","49.75","48.15","48.15","49.24","99.75","40.60","6,87,52,685","3,38,56,10,623.90","1,34,596"
"31-Jan-2023","EQ","48.00","50.70","46.45","47.40","49.55","49.75","48.04","99.75","40.60","9,53,98,497","4,58,30,49,511.75","1,42,820"
"30-Jan-2023","EQ","47.90","48.55","46.70","46.95","47.40","47.40","47.54","99.75","40.60","5,43,76,637","2,58,51,34,643.25","1,18,564"
"27-Jan-2023","EQ","49.00","51.80","46.70","47.75","47.00","46.95","48.88","114.20","40.60","16,97,88,452","8,29,91,33,857.05","2,42,023"
"25-Jan-2023","EQ","52.00","52.05","44.35","52.10","47.95","47.75","48.06","114.20","40.60","23,77,64,175","11,42,61,14,094.10","3,04,288"
"24-Jan-2023","EQ","51.00","52.30","50.65","51.00","52.00","52.10","51.36","114.20","40.60","4,77,20,352","2,45,09,37,853.15","66,411"
"23-Jan-2023","EQ","51.90","51.90","50.65","51.45","51.10","51.00","51.10","114.20","40.60","2,46,58,884","1,26,00,20,222.30","50,971"
"20-Jan-2023","EQ","51.40","52.25","50.55","51.10","51.80","51.45","51.17","134.60","40.60","4,73,55,757","2,42,29,83,119.50","70,745"
"19-Jan-2023","EQ","50.30","51.90","50.05","51.00","51.15","51.10","51.19","134.60","40.60","5,45,23,340","2,79,09,58,659.20","80,582"
"18-Jan-2023","EQ","50.40","51.45","48.85","50.15","50.90","51.00","50.91","134.60","40.60","8,45,41,855","4,30,41,64,392.20","1,26,878"
"17-Jan-2023","EQ","53.00","53.10","50.00","52.70","50.15","50.15","50.95","134.60","40.60","7,71,22,987","3,92,97,62,731.10","1,65,590"
"16-Jan-2023","EQ","54.00","54.30","52.50","53.25","52.80","52.70","53.29","134.60","40.60","3,58,92,303","1,91,28,20,428.55","86,545"
"13-Jan-2023","EQ","54.10","54.50","53.05","53.75","53.45","53.25","53.54","134.60","40.60","3,87,35,350","2,07,39,10,355.60","85,632"
"12-Jan-2023","EQ","54.70","55.00","52.95","54.35","53.90","53.75","53.83","134.60","40.60","3,88,56,261","2,09,17,47,306.05","93,275"
"11-Jan-2023","EQ","55.00","56.15","54.10","54.70","54.45","54.35","55.04","134.60","40.60","3,26,26,665","1,79,56,71,978.30","92,639"
"10-Jan-2023","EQ","56.00","56.15","53.80","56.00","55.05","54.70","55.03","134.60","40.60","4,59,66,335","2,52,96,41,455.20","77,842"
"09-Jan-2023","EQ","56.00","57.25","55.75","55.25","55.95","56.00","56.14","134.60","40.60","3,54,90,334","1,99,25,21,286.10","76,741"
"06-Jan-2023","EQ","56.20","56.40","54.95","56.20","55.45","55.25","55.49","142.45","40.60","3,02,72,416","1,67,99,60,851.10","83,526"
"05-Jan-2023","EQ","56.95","57.10","55.60","56.35","56.35","56.20","56.23","142.45","40.60","3,44,48,671","1,93,68,86,014.45","90,469"
"04-Jan-2023","EQ","58.40","58.70","56.00","58.95","56.35","56.35","57.13","142.45","40.60","4,89,75,781","2,79,78,09,818.90","1,37,045"
"03-Jan-2023","EQ","58.85","59.55","57.30","60.30","58.90","58.95","58.87","142.45","40.60","4,97,02,768","2,92,58,01,464.60","1,17,864"
"02-Jan-2023","EQ","60.65","60.70","59.80","59.30","60.30","60.30","60.21","142.45","40.60","1,87,59,536","1,12,95,95,214.25","50,449"
